Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
SMOOTHDUO,CAN,Smoothing Duo Promo,1,55,50,55,47,0,0,78,55
SMOOTHDUO,CAN,Smoothing Duo Promo,3,67,50,67,47,12,0,78,67
SMOOTHDUO,USA,Smoothing Duo Promo,1,41,50,41,35,0,0,59,41
SMOOTHDUO,USA,Smoothing Duo Promo,3,50,50,50,35,9,0,59,50
SMOOTHDUO,USA,Smoothing Duo Promo,9,0,0,0,0,0,0,0,0
SMOREN,CAN,Smoothing Shampoo + Renew Shampoo,1,25,20,25,0,0,0,0,25
SMOREN,CAN,Smoothing Shampoo + Renew Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMOREN,CAN,Smoothing Shampoo + Renew Shampoo,3,25,20,25,0,0,0,0,25
SMOREN,USA,Smoothing Shampoo + Renew Shampoo,1,20,20,20,0,0,0,0,20
SMOREN,USA,Smoothing Shampoo + Renew Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMOREN,USA,Smoothing Shampoo + Renew Shampoo,3,20,20,20,0,0,0,0,20
SMOREV,CAN,Smoothing Shampoo + Revive Shampoo,1,25,20,25,0,0,0,0,25
